policy,case,inspect_part_1,inspect_part_2,inspect_product,computed_profit,paper_profit_2dp,absolute_difference_to_rounded_paper,within_reported_2dp_tolerance
009,1,1,1,1,12.666666666666664,12.67,0.0033333333333356308,True
009,2,1,1,1,2.5625,2.56,0.0024999999999999467,True
009,3,1,1,1,12.666666666666664,12.67,0.0033333333333356308,True
009,4,1,1,1,8.5,8.5,0.0,True
009,5,1,1,1,5.907407407407412,5.91,0.002592592592588261,True
009,6,1,1,1,16.609418282548475,16.61,0.0005817174515243551,True
010,1,1,1,0,15.333333333333336,15.33,0.0033333333333356308,True
010,2,1,1,0,4.8125,4.81,0.002500000000000391,True
010,3,1,1,0,12.666666666666664,12.67,0.0033333333333356308,True
010,4,1,1,0,3.5,3.5,0.0,True
010,5,1,1,0,7.018518518518519,7.02,0.0014814814814805288,True
010,6,1,1,0,19.2409972299169,19.24,0.000997229916901432,True
011,1,1,0,1,14.436213991769556,14.44,0.003786008230443727,True
011,2,1,0,1,2.093750000000007,2.09,0.0037500000000072475,True
011,3,1,0,1,14.436213991769556,14.44,0.003786008230443727,True
011,4,1,0,1,5.609375000000007,5.61,0.0006249999999932143,True
011,5,1,0,1,1.370370370370381,1.37,0.00037037037038079035,True
011,6,1,0,1,19.084997813092286,19.09,0.0050021869077134795,True
012,1,1,0,0,16.732510288065853,16.73,0.0025102880658529614,True
012,2,1,0,0,3.406250000000007,3.4,0.006250000000007194,True
012,3,1,0,0,11.10288065843622,11.1,0.002880658436220429,True
012,4,1,0,0,-8.140624999999986,-8.14,0.0006249999999852207,True
012,5,1,0,0,0.25925925925927373,0.26,0.0007407407407262756,True
012,6,1,0,0,21.328765126111676,21.33,0.0012348738883218857,True
013,1,0,1,1,11.144032921810705,11.14,0.004032921810704693,True
013,2,0,1,1,-5.328124999999986,-5.33,0.001875000000014282,True
013,3,0,1,1,11.144032921810705,11.14,0.004032921810704693,True
013,4,0,1,1,0.1406250000000142,0.14,0.0006250000000141975,True
013,5,0,1,1,11.864197530864203,11.86,0.0041975308642037135,True
013,6,0,1,1,17.10220148709724,17.1,0.0022014870972384415,True
014,1,0,1,0,13.44032921810701,13.44,0.00032921810701047605,True
014,2,0,1,0,-4.015624999999986,-4.02,0.0043750000000137845,True
014,3,0,1,0,7.810699588477377,7.81,0.0006995884773770555,True
014,4,0,1,0,-13.609374999999986,-13.61,0.0006250000000136424,True
014,5,0,1,0,11.987654320987659,11.99,0.002345679012341506,True
014,6,0,1,0,19.34596880011663,19.35,0.004031199883371528,True
015,1,0,0,1,13.475994513031559,13.48,0.004005486968441829,True
015,2,0,0,1,-4.546874999999986,-4.55,0.0031250000000140332,True
015,3,0,0,1,13.475994513031559,13.48,0.004005486968441829,True
015,4,0,0,1,-2.593749999999986,-2.6,0.0062500000000143,True
015,5,0,0,1,9.703703703703717,9.7,0.0037037037037173093,True
015,6,0,0,1,19.843125820090386,19.84,0.003125820090385645,True
016,1,0,0,0,15.360768175582997,15.36,0.0007681755829977988,True
016,2,0,0,0,-4.406249999999986,-4.41,0.003750000000014353,True
016,3,0,0,0,6.4389574759945205,6.44,0.0010425240054798834,True
016,4,0,0,0,-27.28124999999997,-27.28,0.0012499999999704414,True
016,5,0,0,0,7.35802469135804,7.36,0.0019753086419607158,True
016,6,0,0,0,21.678670360110793,21.68,0.0013296398892066463,True
